PSA Code,Station Name,RAWSID,Column1
SC01,Crestview,43709,
SC01,Rock Creek,43710,
SC01,Dexter,43711,
SC02,Cottage,43210,
SC02,Crane,44102,
SC02,Dinkey,44521,
SC02,Fence Meadow,44503,
SC02,Minarets,44203,
SC02,Shaver,44522,
SC03,Case Mountain,44733,
SC03,Cedar Grove,44719,
SC03,Johnsondale,44707,
SC03,Park Ridge,44713,
SC03,Piutes,45017,
SC04,North Fork,44204,
SC04,Mariposa,44106,
SC04,Fancher Creek,44516,
SC04,Catheys Valley,44114,
SC04,Green Spring,43613,
SC04,Trimmer,44510,
SC04,Oak Opening,44717,
SC05,Fountain Springs,44731,
SC06,Hernandez,44409,
SC06,Parkfield,44310,Stop
SC06,La Panza,44914,
SC06,Carrizo,44916,
SC06,Branch Mtn,44901,
SC06,Pinnacles,44410,
SC07,Los Prietos,45203,
SC07,Big Sur,44302,
SC07,San Luis Obispo,44915,
SC07,Arroyo Seco,44301,
SC07,Las Tablas,44904,
SC07,Vandenberg,45220,
SC08,Malibu Hills,45433,
SC08,Malibu Canyon,45452,
SC08,Saugus,45412,
SC08,Valley Center,45734,
SC08,El Cariso,45619,
SC08,Claremont,45443,
SC08,Cheeseboro,45313,
SC08,Devore,45113,
SC09,Chuchupate,45302,
SC09,Warm Springs,45426,
SC09,Tanbark,45421,
SC09,Rose Valley,45314,
SC09,Ozena,45303,
SC09,Mormon Rock,45114,
SC09,Mill Creek ANF,45435,
SC10,Fawnskin,45101,
SC10,Converse,45105,
SC10,Big Pine Flat,45102,
SC10,Rock Camp,45111,
SC11,Descanso,45707,
SC11,Julian,45708,
SC11,Keenwild,45604,
SC11,Mt Laguna,45709,
SC11,Oak Grove,45710,
SC11,Palomar,45740,
SC12,Squaw Lake,45801,
SC12,Rice Valley,45620,
SC12,Cibola,20121,
SC12,Havasu,20118,
SC13,Squaw Lake,45801,
SC13,Rice Valley,45620,
SC13,Cibola,20121,
SC13,Havasu,20118,
SC14,Horse Thief Spring,45129,
SC14,Yucca Valley,45112,
SC14,Apple Valley 2,45134,
SC14,Mid Hills,45128,
SC14,Opal Mtn,45127,
SC15,Acton,45438,yes
SC15,Poppy Park,45440,yes
SC15,Saddelback Butte,45444,
SC16,Oak Creek,44804,yes
SC16,Benton,43708,yes
SC16,Owens Valley,44803,yes
